address,area,baths,beds,original_link,price,time_stamp
"1698 Lollie Ct,SAN JOSE, CA 95124","1,561 sqft",2,3,https://www.redfin.com/CA/San-Jose/1698-Lollie-Ct-95124/home/636460,"$1,698,000",2022-12-13 20:16:17
"3242 Kimber Ct #41,SAN JOSE, CA 95124",886 sqft,1,2,https://www.redfin.com/CA/San-Jose/3242-Kimber-Ct-95124/unit-41/home/833689,"$649,000",2022-12-13 20:17:03
"14553 Union Ave,SAN JOSE, CA 95124","1,636 sqft",1,3,https://www.redfin.com/CA/San-Jose/14553-Union-Ave-95124/home/836057,"$4,899,000",2022-12-13 20:17:46
"14529 Union Ave,SAN JOSE, CA 95124","1,292 sqft",1,3,https://www.redfin.com/CA/San-Jose/14529-Union-Ave-95124/home/1542223,"$4,899,000",2022-12-13 20:18:39
"14541 Union Ave,SAN JOSE, CA 95124","1,591 sqft",1.5,3,https://www.redfin.com/CA/San-Jose/14541-Union-Ave-95124/home/836054,"$4,899,000",2022-12-13 20:19:46
"3827 Prescott Ave,SAN JOSE, CA 95124","1,812 sqft",2,5,https://www.redfin.com/CA/San-Jose/3827-Prescott-Ave-95124/home/946730,"$1,800,000",2022-12-13 20:20:34
"1685 Clovis Ave,SAN JOSE, CA 95124","1,876 sqft",2,4,https://www.redfin.com/CA/San-Jose/1685-Clovis-Ave-95124/home/918211,"$1,945,000",2022-12-13 20:21:14
"1863 Anne Way,SAN JOSE, CA 95124","2,241 sqft",3,4,https://www.redfin.com/CA/San-Jose/1863-Anne-Way-95124/home/1678262,"$1,998,000",2022-12-13 20:21:56
"2415 Meridian Ave,SAN JOSE, CA 95124","2,050 sqft",2.5,4,https://www.redfin.com/CA/San-Jose/2415-Meridian-Ave-95124/home/1357929,"$1,688,000",2022-12-13 20:22:54
"4225 Ross Ave,SAN JOSE, CA 95124","1,877 sqft",3,5,https://www.redfin.com/CA/San-Jose/4225-Ross-Ave-95124/home/1427790,"$1,958,000",2022-12-13 20:23:46
"2341 Pauline Dr,SAN JOSE, CA 95124","3,520 sqft",4,8,https://www.redfin.com/CA/San-Jose/2341-Pauline-Dr-95124/home/825061,"$2,200,000",2022-12-13 20:24:21
"3502 Nova Scotia Ave,San Jose, CA 95124","1,265 sqft",2,3,https://www.redfin.com/CA/San-Jose/3502-Nova-Scotia-Ave-95124/home/1551014,"$1,300,000",2022-12-13 20:25:10
"1749 Balsa Ave,San Jose, CA 95124-1860","1,478 sqft",2,3,https://www.redfin.com/CA/San-Jose/1749-Balsa-Ave-95124/home/1067321,"$1,900,000",2022-12-13 20:25:44
"1795 Branham Ln,SAN JOSE, CA 95124","1,346 sqft",2,4,https://www.redfin.com/CA/San-Jose/1795-Branham-Ln-95124/home/1633144,"$1,799,000",2022-12-13 20:26:37
"1966 Rosswood Dr,SAN JOSE, CA 95124","1,205 sqft",2,3,https://www.redfin.com/CA/San-Jose/1966-Rosswood-Dr-95124/home/997347,"$1,575,000",2022-12-13 20:27:40
"5372 Keene Dr,SAN JOSE, CA 95124","1,390 sqft",2,3,https://www.redfin.com/CA/San-Jose/5372-Keene-Dr-95124/home/1186955,"$1,799,000",2022-12-13 20:28:14
"4922 Leigh Ave,SAN JOSE, CA 95124","1,809 sqft",2.5,4,https://www.redfin.com/CA/San-Jose/4922-Leigh-Ave-95124/home/1346028,"$1,799,000",2022-12-13 20:29:19
"14689 Nelson Way,SAN JOSE, CA 95124","1,568 sqft",1,3,https://www.redfin.com/CA/San-Jose/14689-Nelson-Way-95124/home/833171,"$1,725,000",2022-12-13 20:29:53
"5561 Del Oro Pl,SAN JOSE, CA 95124","2,035 sqft",2.5,3,https://www.redfin.com/CA/San-Jose/5561-Del-Oro-Pl-95124/home/911631,"$1,600,000",2022-12-13 20:30:31
"2131 Glenkirk Dr,SAN JOSE, CA 95124","3,144 sqft",3,5,https://www.redfin.com/CA/San-Jose/2131-Glenkirk-Dr-95124/home/1357901,"$2,900,000",2022-12-13 20:31:15
"2063 Rosswood Dr,SAN JOSE, CA 95124","1,474 sqft",2,3,https://www.redfin.com/CA/San-Jose/2063-Rosswood-Dr-95124/home/1467183,"$1,698,000",2022-12-13 20:31:54
"4994 Stuckey Dr,SAN JOSE, CA 95124","1,578 sqft",2,3,https://www.redfin.com/CA/San-Jose/4994-Stuckey-Dr-95124/home/833819,"$1,798,000",2022-12-13 20:32:59
"3337 Julio Ave,SAN JOSE, CA 95124","1,280 sqft",2,3,https://www.redfin.com/CA/San-Jose/3337-Julio-Ave-95124/home/854957,"$1,399,000",2022-12-13 20:33:44
"4965 Sandy Ln,SAN JOSE, CA 95124","1,460 sqft",2,3,https://www.redfin.com/CA/San-Jose/4965-Sandy-Ln-95124/home/1504926,"$1,650,000",2022-12-13 20:34:45
"5230 Adalina Ct,SAN JOSE, CA 95124","1,419 sqft",2.5,3,https://www.redfin.com/CA/San-Jose/5230-Adalina-Ct-95124/home/997414,"$1,199,950",2022-12-13 20:35:48
"2795 Quinto Way,SAN JOSE, CA 95124","2,191 sqft",2.5,5,https://www.redfin.com/CA/San-Jose/2795-Quinto-Way-95124/home/1077271,"$1,769,888",2022-12-13 20:36:38
"1856 Kirkmont Dr,SAN JOSE, CA 95124","2,810 sqft",3,6,https://www.redfin.com/CA/San-Jose/1856-Kirkmont-Dr-95124/home/1536706,"$2,100,000",2022-12-13 20:37:16
"2904 Benjamin Ct,SAN JOSE, CA 95124","1,603 sqft",2,4,https://www.redfin.com/CA/San-Jose/2904-Benjamin-Ct-95124/home/1606292,"$1,698,000",2022-12-13 20:38:00
"2174 Northampton Dr,SAN JOSE, CA 95124","1,612 sqft",2.5,4,https://www.redfin.com/CA/San-Jose/2174-Northampton-Dr-95124/home/1245536,"$1,710,000",2022-12-13 20:38:41
"2325 Westmoreland Dr,SAN JOSE, CA 95124","2,794 sqft",3,5,https://www.redfin.com/CA/San-Jose/2325-Westmoreland-Dr-95124/home/850345,"$2,099,000",2022-12-13 20:39:14
"2937 Leigh Ave,SAN JOSE, CA 95124","1,410 sqft",2,3,https://www.redfin.com/CA/San-Jose/2937-Leigh-Ave-95124/home/1596523,"$1,399,000",2022-12-13 20:40:00
"2881 Meridian Ave #159,SAN JOSE, CA 95124","1,383 sqft",2,2,https://www.redfin.com/CA/San-Jose/2881-Meridian-Ave-95124/unit-159/home/21668790,"$975,000",2022-12-13 20:41:01
"5462 Copeland Ln,SAN JOSE, CA 95124","2,241 sqft",2.5,4,https://www.redfin.com/CA/San-Jose/5462-Copeland-Ln-95124/home/1808072,"$2,138,000",2022-12-13 20:42:01
"5178 Noella Way,SAN JOSE, CA 95124","1,090 sqft",2,3,https://www.redfin.com/CA/San-Jose/5178-Noella-Way-95124/home/1384184,"$1,598,000",2022-12-13 20:42:59
"2885-2887 Ross Ave,SAN JOSE, CA 95124","2,353 sqft",3,5,https://www.redfin.com/CA/San-Jose/2885-Ross-Ave-95124/home/1367019,"$1,375,000",2022-12-13 20:43:42
"15424 Stratford Dr,San Jose, CA 95124","1,556 sqft",2,3,https://www.redfin.com/CA/San-Jose/15424-Stratford-Dr-95124/home/835814,"$1,800,000",2022-12-13 20:44:40
"1514 Hillsdale Ave,SAN JOSE, CA 95118","1,631 sqft",2,3,https://www.redfin.com/CA/San-Jose/1514-Hillsdale-Ave-95118/home/1064296,"$1,188,000",2022-12-13 20:45:33
"1591 Shaw Dr,SAN JOSE, CA 95118","1,959 sqft",2.5,4,https://www.redfin.com/CA/San-Jose/1591-Shaw-Dr-95118/home/1015276,"$1,795,000",2022-12-13 20:46:11
"1364 Bouret Dr,SAN JOSE, CA 95118","1,080 sqft",1.5,3,https://www.redfin.com/CA/San-Jose/1364-Bouret-Dr-95118/home/923248,"$1,250,000",2022-12-13 20:46:45
"1381 Dentwood Dr,SAN JOSE, CA 95118","1,420 sqft",2,3,https://www.redfin.com/CA/San-Jose/1381-Dentwood-Dr-95118/home/1269684,"$1,300,000",2022-12-13 20:47:27
"5301 Joseph Ln,SAN JOSE, CA 95118","1,420 sqft",2,3,https://www.redfin.com/CA/San-Jose/5301-Joseph-Ln-95118/home/1336609,"$1,675,000",2022-12-13 20:48:16
"1584 Hillsdale Ave,San Jose, CA 95118","1,782 sqft",2,4,https://www.redfin.com/CA/San-Jose/1584-Hillsdale-Ave-95118/home/854833,"$1,299,950",2022-12-13 20:49:09
"1338 Branham Ln #4,SAN JOSE, CA 95118",798 sqft,1,2,https://www.redfin.com/CA/San-Jose/1338-Branham-Ln-95118/unit-4/home/923156,"$560,000",2022-12-13 20:49:43
"3302 Como Ln,SAN JOSE, CA 95118","2,645 sqft",3,4,https://www.redfin.com/CA/San-Jose/3302-Como-Ln-95118/home/862716,"$2,138,000",2022-12-13 20:50:45
